2025-	2-	11-	13:	45:	37,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	13:	45:	46,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	13:	46:	5,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	14:	14:	56,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	14:	16:	2,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	14:	40:	15,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	14:	42:	22,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	14:	43:	5,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	14:	53:	30,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	14:	56:	32,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	14:	56:	46,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	14:	58:	37,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	15:	4:	50,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	15:	5:	2,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	15:	13:	50,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	15:	14:	38,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	15:	20:	23,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	15:	22:	48,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	15:	27:	21,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	15:	28:	43,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	15:	28:	58,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	15:	29:	30,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	15:	29:	56,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	15:	32:	49,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	15:	33:	20,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	15:	37:	22,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	15:	38:	17,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	15:	38:	27,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	15:	39:	15,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	15:	41:	20,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	15:	41:	51,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	16:	45:	16,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	16:	52:	52,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	16:	53:	34,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	16:	53:	57,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	17:	0:	18,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	17:	0:	49,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	17:	15:	45,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	17:	16:	48,Nt:8,Nr:8,mu:4,samples:128
2025-	2-	11-	17:	19:	2,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	17:	19:	55,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	17:	22:	14,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	17:	23:	48,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	17:	23:	59,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	17:	27:	55,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	17:	28:	20,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	17:	29:	7,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	17:	29:	43,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	17:	31:	4,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	17:	49:	25,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	17:	56:	10,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	17:	56:	30,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	17:	58:	3,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	20:	0:	12,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	20:	1:	15,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	21:	9:	36,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	21:	12:	1,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	21:	12:	26,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	21:	13:	2,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	21:	13:	23,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	21:	13:	48,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	21:	16:	27,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	21:	19:	46,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	21:	20:	43,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	21:	21:	30,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	21:	21:	55,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	21:	24:	16,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	21:	25:	4,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	21:	25:	45,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	21:	25:	56,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	21:	26:	22,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	21:	27:	5,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	21:	28:	5,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	21:	28:	17,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	21:	29:	8,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	21:	29:	16,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	21:	33:	43,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	21:	34:	51,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	21:	36:	24,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	21:	42:	49,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	21:	43:	52,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	21:	49:	17,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	21:	52:	50,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	21:	53:	30,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	12-	15:	7:	23,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	12-	15:	9:	21,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	12-	15:	22:	45,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	12-	15:	23:	45,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	12-	15:	26:	20,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	12-	15:	27:	14,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	12-	15:	29:	39,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	12-	15:	30:	5,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	12-	15:	30:	11,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	12-	15:	34:	37,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	12-	15:	34:	50,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	12-	15:	35:	16,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	12-	15:	35:	47,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	12-	15:	36:	35,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	12-	15:	36:	54,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	12-	15:	37:	56,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	12-	15:	38:	10,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	12-	15:	38:	39,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	12-	15:	54:	26,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	13-	16:	43:	35,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	13-	16:	47:	47,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	13-	16:	54:	51,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	13-	16:	56:	32,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	13-	17:	3:	28,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	13-	17:	7:	27,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	13-	17:	7:	47,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	13-	17:	9:	2,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	13-	17:	11:	21,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	13-	17:	12:	20,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	13-	17:	12:	52,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	13-	17:	32:	5,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	13-	17:	32:	10,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	13-	17:	33:	14,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	13-	17:	33:	58,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	13-	17:	36:	33,Nt:8,Nr:8,mu:4,samples:256
